COMMON,,AS_OF_LAST_WEEK,As of last week,गेल्या आठवड्याप्रमाणे,पिछले सप्ताह तक,ଗତ ସପ୍ତାହରୁ,గత వారం నాటికి,ಕಳೆದ ವಾರದಂತೆ,கடந்த வாரம் வரை,ગયા અઠવાડિયાની જેમ,گزشتہ ہفتے تک
COMMON,,LAST_SEVEN_DAYS,Last 7 Days,शेवटचे ७ दिवस,पिछले 7 दिन,ପୂର୍ବ ସାତ ଦିନ,గత 7 రోజులు,ಕಳೆದ 7 ದಿನಗಳು,கடந்த 7 நாட்கள்,છેલ્લા 7 દિવસ,آخری 7 دن
COMMON,,LAST_MONTH,Last Month,गेल्या महिन्यात,पिछला महीना,ପୂର୍ବ ମାସ,గత నెల,ಕಳೆದ ತಿಂಗಳು,கடந்த மாதம்,ગયા મહીને,پچھلے مہینے
COMMON,,LAST_SIX_MONTHS,Last Six Months,शेवटचे सहा महिने,पिछले छह महीने,ଗତ ଛ ମାସ,గత ఆరు నెలలు,ಕಳೆದ ಆರು ತಿಂಗಳುಗಳು,கடைசி 6 மாதங்கள்,છેલ્લા છ મહિના,گزشتہ 6 ماہ
COMMON,,CUSTOM_RANGE,Custom Range,सानुकूल श्रेणी,कस्टम सीमा,ଅନୁକୂଳିତ/କଷ୍ଟମ ସୀମା,అనుకూల పరిధి,ಕಸ್ಟಮ್ ಶ್ರೇಣಿ,விருப்ப வரம்பு,કસ્ટમ શ્રેણી,حسب ضرورت رینج
COMMON,,NONE,None,काहीही नाही,कोई नहीं,କିଛି ନାହି,ఏదీ లేదు,ಯಾವುದೂ ಇಲ್ಲ,எதுவுமில்லை,કોઈ નહિ,کوئی نہیں
COMMON,,LEARNERS,Learners,शिकणारे,लर्नर,ଶିକ୍ଷାର୍ଥୀ,అభ్యాసకులు,ಕಲಿಯುವವರು,மாணவர்கள்,શીખનારાઓ,طلباء
COMMON,,LEARNER_NAME,Learner Name,शिकणाऱ्याचे नाव,लर्नर का नाम,ଶିକ୍ଷାର୍ଥୀ ନାମ,అభ్యాసకుడి పేరు,ಕಲಿಯುವವರ ಹೆಸರು,மாணவர் பெயர்,શીખનારનું નામ,طلباء کا نام
COMMON,,DATE_RANGE,Date Range,तारीख श्रेणी,तिथि सीमा,ସମୟ ସୀମା,తేదీ పరిధి,ದಿನಾಂಕ ಶ್ರೇಣಿ,தேதி வரம்பு,તારીખ શ્રેણી,تاریخ کی حد
COMMON,,SELECT_AN_OPTION,Select an option,एक पर्याय निवडा,कोई विकल्प चुनें,ଏକ ବିକଳ୍ପ ବାଛ,ఒక ఎంపికను ఎంచుకోండి,ಒಂದು ಆಯ್ಕೆಯನ್ನು ಆರಿಸಿ,ஒரு விருப்பத்தைத் தேர்ந்தெடு,એક વિકલ્પ પસંદ કરો,ایک اختیار منتخب کریں
COMMON,,AND,and,आणि,और,ଏବଂ,మరియు,ಮತ್ತು,மற்றும்,અને,اور
COMMON,,MORE,more,अधिक,अधिक,ଅଧିକ,ఇంకా,ಹೆಚ್ಚು,மேலும்,વધુ,مزید
COMMON,,CLOSE,Close,बंद,बंद करें,ବନ୍ଦ କରନ୍ତୁ,మూసివేయి,ಮುಚ್ಚಿ,மூடு,બંધ,بند
COMMON,,CANCEL,Cancel,रद्द करा,कैंसिल करें,ରଦ୍ଦ କରନ୍ତୁ,రద్దు చేయి,ರದ್ದುಮಾಡಿ,ரத்துசெய்,રદ કરો,منسوخ کریں۔
COMMON,,OK,OK,ठीक आहे,ओके,ଠିକ ଅଛି,సరే,ಓಕೆ,சரி,ઓકે,ٹھیک ہے
COMMON,,FROM_TO_DATE,From - To dates,पासून - पर्यंत तारीख,से - तक की तारीख,ତାରିଖ: ରୁ - ପର୍ଯ୍ୟନ୍ତ,నుండి - వరకు తేదీలు,ಇಂದ - ದಿನಾಂಕದವರೆಗೆ,முதல் - வரை,થી - તારીખો સુધી,شروع سے - تاریخوں تک
COMMON,,REMOVE,Remove,काढून टाका,हटाएं,ହଟାନ୍ତୁ,తొలగించు,ತೆಗೆದುಹಾಕಿ,நீக்கு,દુર કરો,ہٹا دیں۔
COMMON,,SEND_REQUEST,Send Request,विनंती पाठवा,रिक्वेस्ट भेजें,ଅନୁରୋଧ ପଠାନ୍ତୁ,అభ్యర్థన పంపు,ವಿನಂತಿಯನ್ನು ಕಳುಹಿಸಿ,கோரிக்கையை அனுப்பு,વિનંતી મોકલો,درخواست بھیجیں۔
COMMON,,MARK_DROP_OUT,Mark as Drop Out,ड्रॉप आउट म्हणून चिन्हांकित करा,ड्रॉप आउट के रूप में चिह्नित करें,ଡ୍ରପଆଉଟ  ଚିହ୍ନିତ କରନ୍ତୁ,డ్రాప్ ఔట్‌గా గుర్తించు,ಡ್ರಾಪ್ ಔಟ್ ಎಂದು ಗುರುತಿಸಿ,இடைநிற்றல் என குறி,ડ્રોપ આઉટ તરીકે માર્ક કરો,ڈراپ آؤٹ کے بطور نشان زد کریں۔
COMMON,,MARK_ALL_AS,Mark All As,सर्व चिन्हांकित करा,सभी को चिह्नित करें,ସମସ୍ତଙ୍କୁ ଚିହ୍ନିତ କର,అన్నిటినీ ఇలా గుర్తించు,ಎಲ್ಲವನ್ನೂ ಹೀಗೆ ಗುರುತಿಸಿ,அனைத்தையும் இவ்வாறு குறிக்கவும்,બધાને આ રીતે માર્ક કરો,سب کو نشان زد کریں
COMMON,,UNMARK_DROP_OUT,Unmark as Drop Out,ड्रॉप आउट म्हणून काढून टाका,ड्रॉप आउट के रूप में हटाएं,ଡ୍ରପ ଆଉଟ ଭାବରେ ଅଚିହ୍ନିତ କରନ୍ତୁ,డ్రాప్ ఔట్ గుర్తింపు తొలగించు,ಡ್ರಾಪ್ ಔಟ್ ಎಂದು ಗುರುತು ತೆಗೆಯಿರಿ,டிராப்-அவுட் ஐ நீக்கு,ડ્રોપ આઉટ તરીકે અનમાર્ક કરો,ڈراپ آؤٹ کے نشان کو ہٹائیں
COMMON,,SOMETHING_WENT_WRONG,Something went wrong,काहीतरी चूक झाली,कुछ गलत हो गया,କିଛି ଭୁଲ ହେଲା,ఏదో లోపం జరిగింది,ಏನೋ ತಪ್ಪಾಗಿದೆ,ஏதோ தவறாகிவிட்டது.,કંઈક ખોટું થયું,کچھ تو غلط ہے۔
COMMON,,NO_GO_BACK,"No, go back","नाही, परत जा","नहीं, वापस जाएँ","ନାହିଁ, ପଛକୁ ଯାଆନ୍ତୁ","వద్దు, వెనుకకు వెళ్ళు","ಇಲ್ಲ, ಹಿಂತಿರುಗಿ","இல்லை, பின் செல்.","ના, પાછા જાઓ",نہیں، واپس جائیں
COMMON,,YES,Yes,होय,हाँ,ହଁ,అవును,ಹೌದು,ஆம்,હા,جی ہاں
COMMON,,REVIEW_ATTENDANCE,Review Attendance,उपस्थिती पुनरावलोकन,उपस्थिति देखें,ଉପସ୍ଥିତି ପରୀକ୍ଷା କରନ୍ତୁ,హాజరును సమీక్షించండి,ಹಾಜರಾತಿಯನ್ನು ಪರಿಶೀಲಿಸಿ,வருகை சரிபார்,હાજરીની સમીક્ષા કરો,حاضری کا جائزہ لیں۔
COMMON,,ADD_NEW,Add New,नवीन जोडा,नया जोड़ें,ନୂତନ ଯୋଗ କରନ୍ତୁ,కొత్తది జత చేయి,ಹೊಸದನ್ನು ಸೇರಿಸಿ,புதியதைச் சேர்,નવું ઉમેરો,نیا شامل کریں۔
COMMON,,ADD,ADD,जोडा,जोड़ें,ଯୋଗ କରନ୍ତୁ,జత చేయి,ಸೇರಿಸಿ,சேர்,ઉમેરો,شامل کریں۔
COMMON,,ADD_CENTER,Add Centers to your view,तुमच्या दृश्यात केंद्रे जोडा,केंद्र जोड़ें,ଆପଣଙ୍କର ଦୃଶ୍ୟରେ କେନ୍ଦ୍ରଗୁଡିକୁ ଯୋଗ କରନ୍ତୁ,మీ వీక్షణకు కేంద్రాలను జత చేయి,ನಿಮ್ಮ ವೀಕ್ಷಣೆಗೆ ಕೇಂದ್ರಗಳನ್ನು ಸೇರಿಸಿ,உங்கள் பார்வையில் மையங்களைச் சேர்க்கவும்.,તમારા દૃશ્યમાં કેન્દ્રો ઉમેરો,اپنے نقطہ نظر میں سنٹرزشامل کریں۔
COMMON,,REMOVE_FROM_CENTER,Remove From Center,केंद्रातून काढून टाका,केंद्र से हटाएं,କେନ୍ଦ୍ରରୁ ବିସର୍ଜନ କରନ୍ତୁ,కేంద్రం నుండి తొలగించు,ಕೇಂದ್ರದಿಂದ ತೆಗೆದುಹಾಕಿ,மையத்திலிருந்து அகற்று,કેન્દ્રમાંથી દૂર કરો,سنٹر سے ہٹا دیں۔
COMMON,,DROP_OUT,Drop Out,गैरहजर,ड्रॉपआउट,ଡ୍ରପ ଆଉଟ,డ్రాప్ ఔట్ (మధ్యలో ఆపేసిన),ಡ್ರಾಪ್ ಔಟ್,இடைநிற்றல்,ડ્રોપ આઉટ,ڈراپ آؤٹ
COMMON,,REASON_FOR_DROPOUT,Reason for Dropout,बाहेर पडण्याचे कारण,ड्रॉपआउट का कारण,ବାଡ୍ରପ ଆଉଟର କାରଣ,డ్రాప్ ఔట్‌కు కారణం,ಡ್ರಾಪ್‌ಔಟ್‌ಗೆ ಕಾರಣ,இடைநிற்றலுக்கான காரணம்,ડ્રોપ આઉટ થવાનું કારણ,ڈراپ آؤٹ کی وجہ
COMMON,,REASON_FOR_DELETION,Reason for Deletion,हटवण्याचे कारण,हटाने का कारण,ହଟାଇବାର କାରଣ,తొలగింపుకు కారణం,ಅಳಿಸುವಿಕೆಗೆ ಕಾರಣ,நீக்குவதற்கான காரணம்,કાઢી નાખવાનું કારણ,حذف کرنے کی وجہ
COMMON,,SURE_LOGOUT,Are you sure you want to Logout?,आपण खात्रीने लॉगआउट करायचे आहे का?,क्या आप वाकई लोगआउट करना चाहते हैं?,ଆପଣ ନିଶ୍ଚିତ କି ଲଗଅଉଟ୍ କରିବାକୁ ଚାହାଁନ୍ତି ?,లాగౌట్ చేయాలా?,ನೀವು ಲಾಗ್‌ಔಟ್ ಮಾಡಲು ಖಚಿತವಾಗಿ ಬಯಸುವಿರಾ?,நீங்கள் நிச்சயமாக வெளியேற விரும்புகிறீர்களா?,શું તમે ખરેખર લોગઆઉટ કરવા માંગો છો?,کیا آپ واقعی لاگ آؤٹ کرنا چاہتے ہیں؟
COMMON,,SURE_UPDATE,Are you sure you want to update this attendance?,आपण खात्रीने ही हजेरी अद्ययावत करायची आहे का?,क्या आप इस उपस्थिति को अपडेट करना चाहते हैं?,ଆପଣ ନିଶ୍ଚିତ କି ଏହି ଉପସ୍ଥିତିକୁ ଅପଡେଟ  କରିବାକୁ ଚାହାଁନ୍ତି ?,ఈ హాజరును అప్‌డేట్ చేయాలనుకుంటున్నారా అని మీకు ఖచ్చితంగా తెలుసా?,ಈ ಹಾಜರಾತಿಯನ್ನು ನವೀಕರಿಸಲು ನೀವು ಖಚಿತವಾಗಿ ಬಯಸುವಿರಾ?,இந்த வருகைப் பதிவை நிச்சயமாகப் புதுப்பிக்க விரும்புகிறீர்களா?,શું તમે ખરેખર આ હાજરી અપડેટ કરવા માંગો છો?,کیا آپ واقعی اس حاضری کو اپ ڈیٹ کرنا چاہتے ہیں؟
COMMON,,SURE_MARK,Are you sure you want to mark this attendance?,तुम्हाला खात्री आहे का की तुम्ही ही उपस्थिती चिन्हांकित करू इच्छिता?,क्या आप सुनिश्चित हैं कि आप इस उपस्थिति को चिह्नित करना चाहते हैं?,ଆପଣ ନିଶ୍ଚିତ କି ଆପଣ ଏହି ଉପସ୍ଥାନକୁ ଚିହ୍ନିତ କରିବାକୁ ଚାହୁଁଛନ୍ତି,ఈ హాజరును గుర్తించాలనుకుంటున్నారా అని మీకు ఖచ్చితంగా తెలుసా?,ಈ ಹಾಜರಾತಿಯನ್ನು ಗುರುತಿಸಲು ನೀವು ಖಚಿತವಾಗಿ ಬಯಸುವಿರಾ?,இந்த வருகையை நீங்கள் நிச்சயமாகக் குறிக்க விரும்புகிறீர்களா?,શું તમે ખરેખર આ હાજરીને ચિહ્નિત કરવા માંગો છો?,کیا آپ واقعی اس طالب علم کو ہٹانا چاہتے ہیں؟
COMMON,,SURE_REMOVE,Are you sure you want to remove this learner?,आपण खात्रीने या शिकणाऱ्याला काढून टाकायचे आहे का?,क्या आप वाकई इस लर्नर को हटाना चाहते हैं?,ଆପଣ ନିଶ୍ଚିତ କି ଏହି ଶିକ୍ଷାର୍ଥୀକୁ ବିସର୍ଜନ କରିବାକୁ ଚାହାଁନ୍ତି ?,ఈ అభ్యాసకుడిని తొలగించాలనుకుంటున్నారా అని మీకు ఖచ్చితంగా తెలుసా?,ಈ ಕಲಿಯುವವರನ್ನು ತೆಗೆದುಹಾಕಲು ನೀವು ಖಚಿತವಾಗಿ ಬಯಸುವಿರಾ?,இந்தப் மாணவரை நீக்க விரும்புகிறீர்களா?,શું તમે ખરેખર આ લર્નર ને દૂર કરવા માંગો છો?,کیا آپ واقعی اس صارف کے  سنٹر کو دوبارہ تفویض کرنا چاہتے ہیں؟
COMMON,,SURE_CLOSE,Are you sure you want to close without saving?,आपण खात्रीने बंद करायचे आहे का?,क्या आप बिना सेव किए बंद करना चाहते हैं?,ଆପଣ ନିଶ୍ଚିତ କି ବନ୍ଦ କରିବାକୁ ଚାହାଁନ୍ତି ?,సేవ్ చేయకుండా మూసివేయాలనుకుంటున్నారా అని మీకు ఖచ్చితంగా తెలుసా?,ನೀವು ಖಚಿತವಾಗಿ ಮುಚ್ಚಲು ಬಯಸುವಿರಾ?,நீங்கள் நிச்சயமாக மூட விரும்புகிறீர்களா?,શું તમે ખરેખર બંધ કરવા માંગો છો?,کیا آپ واقعی بند کرنا چاہتے ہیں؟
COMMON,,LEARNER_LIST,Learners List,शिकणाऱ्यांची यादी,लर्नरों की सूची,ଶିକ୍ଷାର୍ଥୀଙ୍କର ସୂଚୀ,అభ్యాసకుల జాబితా,ಕಲಿಯುವವರ ಪಟ್ಟಿ,மாணவர்கள் பட்டியல்,લર્નર નું લીસ્ટ,طلباء کی فہرست
COMMON,,FACILITATOR_LIST,Facilitators List,मार्गदर्शकांची यादी,फेसीलिटेटरों की सूची,ଫେସିଲିଟରଙ୍କର ସୂଚୀ,ఫెసిలిటేటర్ల జాబితా,ಫೆಸಿಲಿಟೇಟರ್ ಪಟ್ಟಿ,பெசிலிடேட்டர் பட்டியல்,ફેસીલીટેટર નું લીસ્ટ,فیسلیٹیٹر کی فہرست
COMMON,,FILTERS,Filters,फिल्टर,फिल्टर्स,ଫିଲ୍ଟର୍ସ,వడపోతలు (ఫిల్టర్స్),ಫಿಲ್ಟರ್,பில்டர்கள்,ફિલ્ટર્સ,فلٹرز
COMMON,,MANAGE_USERS,Manage Users,वापरकर्त्यांचे व्यवस्थापन करा,उपयोगकर्ताओं का प्रबंधन,ବ୍ୟବହାରକାରୀଗୁଡିକୁ ମାନେଜ୍ କରନ୍ତୁ,వినియోగదారులను నిర్వహించు,ಬಳಕೆದಾರರನ್ನು ನಿರ್ವಹಿಸಿ,யூசர் மேலாண்மை,વપરાશકર્તાઓ મેનેજ કરો,صارفین کا انتظام کریں
COMMON,,FACILITATORS,Facilitators,मार्गदर्शक,फेसीलिटेटर,ଫେସିଲେଟଟର,ఫెసిలిటేటర్లు,ಫೆಸಿಲಿಟೇಟರ್,பெசிலிடேட்டர்,ફેસીલીટેટર્સ,فیسلیٹیٹر
COMMON,,CENTERS_ASSIGNED,Centers Assigned in {{block}},मध्ये नियुक्त केंद्रे,{{block}} में केंद्र आवंटित किए गए,{{block}} ରେ ଆସାଇନ୍ କରାଯାଇଥିବା କେନ୍ଦ୍ର,$\{\text{బ్లాక్}\}$ లో కేటాయించిన కేంద్రాలు,{{block}} ನಲ್ಲಿ ನಿಯೋಜಿಸಲಾದ ಸೆಂಟರ್ ಗಳು,{{block}} இல் ஒதுக்கப்பட்ட மையங்கள்,{{block}} માં સેન્ટર્સ સોંપેલ,بلاک میں تفویض کردہ سنٹرز
COMMON,,REASSIGN_CENTERS,Re-assign Center,केंद्र पुन्हा नियुक्त करा,केंद्रों को पुनः आवंटित करें,କେନ୍ଦ୍ର ପୁନଃ-ସଂସ୍ଥାପନ କରନ୍ତୁ,కేంద్రాన్ని తిరిగి కేటాయించు,ಕೇಂದ್ರವನ್ನು ಮರು ನಿಯೋಜಿಸಿ,மையத்தை மறுவிதமாக ஒதுக்கு,સેન્ટર ફરીથી સોંપો,سنٹر کو دوبارہ تفویض کریں۔
