Module,Submodule,Key,English,Marathi,Hindi,Odiya,Telugu,Kannada,Tamil,Gujarati,Urdu
COMMON,,ARE_YOU_SURE_DELETE,There are {{block}} active blocks in this district you cannot delete it.,"इस जिले में {{block}} सक्रिय ब्लॉक हैं, आप इसे हटा नहीं सकते।","या जिल्ह्यात {{block}} सक्रिय ब्लॉक्स आहेत, तुम्ही हे हटवू शकत नाही.","ଏହି ଜିଲ୍ଲାକୁ {{block}} ସକ୍ରିୟ ବ୍ଲକ ଅଛି, ତୁମେ ଏହାକୁ ଡିଲିଟ କରିପାରିବ ନାହିଁ |","ఈ జిల్లాలో {{block}} క్రియాశీల బ్లాక్‌లు ఉన్నాయి, మీరు దీన్ని తొలగించలేరు.","ಈ ಜಿಲ್ಲೆಯಲ್ಲಿ {{ಬ್ಲಾಕ್}} ಸಕ್ರಿಯ ಬ್ಲಾಕ್‌ಗಳಿವೆ, ಅದನ್ನು ನೀವು ಅಳಿಸಲು ಸಾಧ್ಯವಿಲ್ಲ.",இந்த மாவட்டத்தில் {{block}} செயலில் உள்ள வட்டங்கள் உள்ளன. இதை நீக்க முடியாது.,"{{block}} આ જિલ્લામાં સક્રિય બ્લોક છે, તમે તેને કાઢી શકતા નથી.",اس ضلع میں {{block}} فعال بلاکس ہیں آپ اسے حذف نہیں کر سکتے۔
COMMON,,NO_ACTIVE_BLOCKS_DELETE,There are no active blocks in this district. Do you want to delete it?,इस जिले में कोई सक्रिय ब्लॉक नहीं हैं। क्या आप इसे हटाना चाहते हैं?,या जिल्ह्यात कोणतेही सक्रिय ब्लॉक्स नाहीत. तुम्हाला ते हटवायचे आहे का?,ଏହି ଜିଲ୍ଲାର କୌଣସି ସକ୍ରିୟ ବ୍ଲକ ନାହିଁ | ଆପଣ ଏହାକୁ ଡିଲିଟ  କରିବାକୁ ଚାହୁଁଛନ୍ତି କି?,ఈ జిల్లాలో క్రియాశీల బ్లాక్‌లు ఏవీ లేవు. మీరు దీన్ని తొలగించాలనుకుంటున్నారా?,ಈ ಜಿಲ್ಲೆಯಲ್ಲಿ ಯಾವುದೇ ಸಕ್ರಿಯ ಬ್ಲಾಕ್‌ಗಳಿಲ್ಲ. ನೀವು ಅದನ್ನು ಅಳಿಸಲು ಬಯಸುತ್ತೀರಾ?,இந்த மாவட்டத்தில் செயலில் உள்ள வட்டங்கள் எதுவும் இல்லை. இதை நீக்க விரும்புகிறீர்களா?,આ જિલ્લામાં કોઈ સક્રિય બ્લોક નથી. શું તમે તેને કાઢી નાખવા માંગો છો?,اس ضلع میں کوئی فعال بلاکس نہیں ہیں۔ کیا آپ اسے حذف کرنا چاہتے ہیں؟
COMMON,,ARE_YOU_SURE_DELETE_BLOCK,There are {{centerCount}} active centers in this block you cannot delete it,"इस ब्लॉक में {{centerCount}} सक्रिय केंद्र हैं, आप इसे हटा नहीं सकते","या ब्लॉकमध्ये {{centerCount}} सक्रिय केंद्र आहेत, तुम्ही हे हटवू शकत नाही","ଏହି ବ୍ଲକରେ {{centerCount}} ସକ୍ରିୟ କେନ୍ଦ୍ର ଅଛି, ଆପଣ ଏହାକୁ ଡିଲିଟ  କରିପାରିବେ ନାହିଁ |","ఈ బ్లాక్‌లో {{centerCount}} సక్రియ కేంద్రాలు ఉన్నాయి, మీరు దీన్ని తొలగించలేరు","ಈ ಬ್ಲಾಕ್‌ನಲ್ಲಿ {{centerCount}} ಸಕ್ರಿಯ ಕೇಂದ್ರಗಳಿವೆ, ನೀವು ಅದನ್ನು ಅಳಿಸಲು ಸಾಧ್ಯವಿಲ್ಲ.",இந்த வட்டத்தில் {{centerCount}} செயலில் உள்ள மையங்கள் உள்ளன. இதை நீக்க முடியாது.,"આ બ્લોકમાં {{centerCount}} સક્રિય કેન્દ્રો છે, તમે તેને કાઢી શકતા નથી",اس بلاک میں {{centerCount}} فعال مراکز ہیں آپ اسے حذف نہیں کر سکتے
COMMON,,NO_ACTIVE_CENTERS_DELETE,There are no active centers in this block. Do you want to delete it?,इस ब्लॉक में कोई सक्रिय केंद्र नहीं हैं। क्या आप इसे हटाना चाहते हैं?,या ब्लॉकमध्ये कोणतेही सक्रिय केंद्र नाहीत. तुम्हाला ते हटवायचे आहे का?,ଏହି ବ୍ଲକରେ କୌଣସି ସକ୍ରିୟ କେନ୍ଦ୍ର ନାହିଁ | ଆପଣ ଏହାକୁ ଡିଲିଟ  କରିବାକୁ ଚାହୁଁଛନ୍ତି କି?,ఈ బ్లాక్‌లో క్రియాశీల కేంద్రాలు ఏవీ లేవు. మీరు దీన్ని తొలగించాలనుకుంటున్నారా?,ಈ ಬ್ಲಾಕ್‌ನಲ್ಲಿ ಯಾವುದೇ ಸಕ್ರಿಯ ಕೇಂದ್ರಗಳಿಲ್ಲ. ನೀವು ಅದನ್ನು ಅಳಿಸಲು ಬಯಸುವಿರಾ?,இந்த வட்டத்தில் செயலில் உள்ள மையங்கள் எதுவும் இல்லை. இதை நீக்க விரும்புகிறீர்களா?,આ બ્લોકમાં કોઈ સક્રિય કેન્દ્રો નથી. શું તમે તેને કાઢી નાખવા માંગો છો?,اس بلاک میں کوئی فعال مراکز نہیں ہیں۔ کیا آپ اسے حذف کرنا چاہتے ہیں؟
COMMON,,CONFIRM_DELETE,Confirm Delete,हटाने की पुष्टि करें,हटवण्याची पुष्टी करा,ଡିଲିଟ  ନିଶ୍ଚିତ କରନ୍ତୁ |,తొలగించడాన్ని నిర్ధారించండి,ಅಳಿಸುವಿಕೆಯನ್ನು ದೃಢೀಕರಿಸಿ,நீக்குவதை உறுதிப்படுத்தவும்,કાઢી નાખવાની પુષ્ટિ કરો,حذف کی تصدیق کریں۔
COMMON,,ADD_STATE,Add New State,नया राज्य जोड़ें,नवीन राज्य जोडा,ନୂତନ ରାଜ୍ୟ ଯୋଗ କରନ୍ତୁ |,కొత్త రాష్ట్రాన్ని జోడించండి,ಹೊಸ ರಾಜ್ಯವನ್ನು ಸೇರಿಸಿ,புதிய மாநிலத்தைச் சேர்க்கவும்,નવું રાજ્ય ઉમેરો,نئی ریاست شامل کریں۔
COMMON,,ADD_STATE_CODE,Code,कोड,कोड,କୋଡ୍,కోడ్,ಕೋಡ್,குறியீடு,કોડ,کوڈ
COMMON,,NAME_REQUIRED,Name is Required,नाम आवश्यक है,नाव आवश्यक आहे,ନାମ ଆବଶ୍ୟକ |,పేరు అవసరం,ಹೆಸರು ಅಗತ್ಯವಿದೆ,பெயர் தேவை,નામ જરૂરી છે,نام مطلوب ہے۔
COMMON,,CODE_REQUIRED,Code is Required,कोड आवश्यक है,कोड आवश्यक आहे,କୋଡ୍ ଆବଶ୍ୟକ |,కోడ్ అవసరం,ಕೋಡ್ ಅಗತ್ಯವಿದೆ,குறியீடு தேவை,કોડ જરૂરી,کوڈ درکار ہے۔
COMMON,,CODE_NOTIFICATION,Code should contain 2-3 characters (e.g.MH),कोड में 2-3 वर्ण होने चाहिए (उदाहरण: MH),कोडमध्ये २-३  वर्णाक्षर असावेत (उदा. MH),କୋଡ୍ 2-3 ଅକ୍ଷର ଧାରଣ କରିବା ଉଚିତ (e.g MH),కోడ్‌లో 2-3 అక్షరాలు ఉండాలి (ఉదా.MH),ಕೋಡ್ 2-3 ಅಕ್ಷರಗಳನ್ನು ಹೊಂದಿರಬೇಕು (i.n.MHA),குறியீட்டில் 2-3 எழுத்துகள் இருக்க வேண்டும் (எ.கா.MH),કોડમાં 2-3 અક્ષરો હોવા જોઈએ (ઉદાહરણ: MH),کوڈ میں 2-3 حروف ہونا چاہیے (جیسے MH)
COMMON,,STATE_NAME,State Name,राज्य का नाम,राज्याचे नाव,ରାଜ୍ୟର ନାମ,రాష్ట్రం పేరు,ರಾಜ್ಯ_ಹೆಸರು,மாநில பெயர்,રાજ્યનું નામ,ریاست کا نام
COMMON,,INVALID_TEXT,Invalid Text,अमान्य पाठ,अवैध मजकूर,ଅମାନ୍ୟ ପାଠ୍ୟ,టెక్స్ట్ చెల్లదు,ಇನ್ ವ್ಯಾಲಿಡ್ ಟೆಕ್ಸ್ಟ್,தவறான எழுத்துக்கள்,અમાન્ય પાઠ,غلط متن
COMMON,,INVALID_CODE,Invalid Code,अमान्य कोड,अवैध कोड,ଅମାନ୍ୟ କୋଡ୍,చెల్లని కోడ్,ಇನ್ ವ್ಯಾಲಿಡ್ ಕೋಡ್,தவறான குறியீடு,અમાન્ય કોડ,غلط کوڈ
COMMON,,FILTER_BY_STATUS,Filter By Status :,स्थिति के अनुसार फ़िल्टर करें:,स्थितीवर आधारित फिल्टर करा:,ସ୍ଥିତି ଅନୁଯାୟୀ ଫିଲ୍ଟର କରନ୍ତୁ:,స్థితి వారీగా ఫిల్టర్ చేయండి:,ಸ್ಥಿತಿಯ ಪ್ರಕಾರ ಫಿಲ್ಟರ್ ಮಾಡಿ:,நிலையின்படி வடிகட்டவும்,સ્થિતિ દ્વારા ફિલ્ટર કરો:,حیثیت کے لحاظ سے فلٹر کریں:
COMMON,,DISTRICT_NAME,District Name,जिले का नाम,जिल्ह्याचे नाव,ଜିଲ୍ଲାର ନାମ,జిల్లా పేరు,ಜಿಲ್ಲೆಯ ಹೆಸರು,மாவட்டத்தின் பெயர்,જિલ્લાનું નામ,ضلع کا نام
COMMON,,DISTRICT_CODE,District Code,जिला कोड,जिल्हा कोड,ଜିଲ୍ଲାର କୋଡ୍,జిల్లా కోడ్,ಜಿಲ್ಲಾ ಕೋಡ್ ,மாவட்ட குறியீடு,જિલ્લા કોડ,ضلعی کوڈ
COMMON,,CONTROLLING_FIELD,Controlling Field,नियंत्रक फ़ील्ड,नियंत्रक फील्ड,ନିୟନ୍ତ୍ରଣ କ୍ଷେତ୍ର,కంట్రోలింగ్ ఫీల్డ్,ನಿಯಂತ್ರಣ ಕ್ಷೇತ್ರ,கட்டுப்பாட்டு புலம்,નિયંત્રક ક્ષેત્ર,کنٹرولنگ فیلڈ
COMMON,,ADD_DISTRICT,Add New District,नया जिला जोड़ें,नवीन जिल्हा जोडा,ନୂତନ ଜିଲ୍ଲା ଯୋଡନ୍ତୁ |,కొత్త జిల్లాను జోడించండి,ಹೊಸ ಜಿಲ್ಲೆ ಸೇರಿಸಿ,புதிய மாவட்டத்தைச் சேர்க்கவும்,નવો જિલ્લો ઉમેરો,نیا ضلع شامل کریں۔
COMMON,,ERROR_MESSAGE_SOMETHING_WRONG,Something Went Wrong,कुछ गलत हो गया,काहीतरी चूक झाली,କିଛି ଭୁଲ ହୋଇଗଲା,ఏదో తప్పు జరిగింది,ಏನೋ ತಪ್ಪಾಗಿದೆ.,ஏதோ தவறு ஏற்பட்டுள்ளது,કંઈક ખોટું થયું,کچھ غلط ہو گیا۔
COMMON,,UPDATE,Update,अद्यतन करें,अद्यतन करा,ଆପଡେଟ୍ କରନ୍ତୁ,అప్‌డేట్ చేయండి,ಅಪ್ಡೇಟ್,புதுப்பிக்கவும்,અપડેટ,اپ ڈیٹ کریں۔
COMMON,,UPDATE_STATE,Update State,राज्य अपडेट करें,राज्य अद्ययावत करा,ରାଜ୍ୟ ଅପଡେଟ୍ କରନ୍ତୁ,స్థితిని అప్‌డేట్ చేయండి,ರಾಜ್ಯವನ್ನು ಅಪ್ಡೇಟ್ ಮಾಡಿ ,மாநிலத்தைப் புதுப்பிக்கவும்,રાજ્ય અપડેટ કરો,ریاست کو اپ ڈیٹ کریں۔
COMMON,,UPDATE_DISTRICT,Update District,जिला अपडेट करें,जिल्हा अद्ययावत करा,ଜିଲ୍ଲା ଅପଡେଟ୍ କରନ୍ତୁ,జిల్లా అప్‌డేట్ చేయండి,ಜಿಲ್ಲೆಯನ್ನು ಅಪ್ಡೇಟ್ ಮಾಡಿ ,மாவட்டத்தைப் புதுப்பிக்கவும்,જિલ્લા અપડેટ કરો,ضلع کو اپ ڈیٹ کریں۔
COMMON,,UPDATE_BLOCK,Update Block,ब्लॉक अपडेट करें,ब्लॉक अद्ययावत करा,ବ୍ଲକ୍ ଅପଡେଟ୍କରନ୍ତୁ,బ్లాక్‌ని అప్‌డేట్ చేయండి,ಬ್ಲಾಕ್ ಅನ್ನು ಅಪ್ಡೇಟ್ ಮಾಡಿ ,வட்டத்தைப் புதுப்பிக்கவும்,બ્લોક અપડેટ કરો,اپ ڈیٹ بلاک
COMMON,,ADD_BLOCK,Add New Block,नया ब्लॉक जोड़ें,नवीन ब्लॉक जोडा,ନୂତନ ବ୍ଲକ୍ ଯୋଡନ୍ତୁ |,కొత్త బ్లాక్‌ని జోడించండి,ಹೊಸ ಬ್ಲಾಕ್ ಸೇರಿಸಿ,புதிய வட்டத்தைச் சேர்க்கவும்,નવો બ્લોક ઉમેરો,نیا بلاک شامل کریں۔
COMMON,,BLOCK_NAME,Block Name,ब्लॉक का नाम,ब्लॉकचे नाव,ବ୍ଲକର ନାମ,బ్లాక్ పేరు,ಬ್ಲಾಕ್ ಹೆಸರು,வட்டத்தின் பெயர்,બ્લોકનું નામ,بلاک کا نام
COMMON,,BLOCK_CODE,Block Code,ब्लॉक कोड,ब्लॉक कोड,ବ୍ଲକର କୋଡ୍,బ్లాక్ కోడ్,ಬ್ಲಾಕ್ ಕೋಡ್,வட்டக் குறியீடு,બ્લોક કોડ,بلاک کوڈ
COMMON,,BLOCKS_NOT_FOUND,Blocks not found,ब्लॉक नहीं मिले,ब्लॉक्स सापडले नाहीत,ବ୍ଲକ୍ ମିଳିଲା ନାହିଁ |,బ్లాక్‌లు కనుగొనబడలేదు,ಬ್ಲಾಕ್‌ಗಳು ಕಂಡುಬಂದಿಲ್ಲ,வட்டங்கள் கிடைக்கவில்லை,બ્લોક નથી મળેલ,بلاکس نہیں ملا
COMMON,,STATE_NOT_FOUND,States not found,राज्य नहीं मिले,राज्ये सापडली नाहीत,ରାଜ୍ୟ ମିଳିଲା ନାହିଁ |,రాష్ట్రాలు కనుగొనబడలేదు,ರಾಜ್ಯಗಳು ಕಂಡುಬಂದಿಲ್ಲ,மாநிலங்கள் கிடைக்கவில்லை,રાજ્ય નથી મળેલ,ریاستیں نہیں ملیں۔
COMMON,,DISTRICT_NOT_FOUND,District not found,जिला नहीं मिला,जिल्हा सापडला नाही,ଜିଲ୍ଲା ମିଳିଲା ନାହିଁ |,జిల్లా దొరకలేదు,ಜಿಲ್ಲೆ ಕಂಡುಬಂದಿಲ್ಲ,மாவட்டம் கிடைக்கவில்லை,જિલ્લો નથી મળેલ,ضلع نہیں ملا
COMMON,,USERS_EMAIL,Users Email,उपयोगकर्ताओं का ईमेल,वापरकर्त्याचे ईमेल,ଉପଭୋକ୍ତାଙ୍କ ଇମେଲ୍,వినియోగదారులు ఇమెయిల్,ಯೂಸರ್ ಇಮೇಲ್,பயனரின் மின்னஞ்சல்,ઉપયોગકર્તા નો મેઈલ,صارفین کا ای میل
COMMON,,STATE_NAME_REQUIRED,State Name is Required,राज्य का नाम आवश्यक है,राज्याचे नाव आवश्यक आहे,ରାଜ୍ୟ ନାମ ଆବଶ୍ୟକ |,రాష్ట్రం పేరు అవసరం,ರಾಜ್ಯದ ಹೆಸರು ಅಗತ್ಯವಿದೆ,மாநிலத்தின் பெயர் கட்டாயம்,રાજ્યનું નામ આવ્યાશ્યક છે,ریاست کا نام درکار ہے۔
COMMON,,DISTRICT_NAME_REQUIRED,District Name is Required,जिला का नाम आवश्यक है,जिल्ह्याचे नाव आवश्यक आहे,ଜିଲ୍ଲାର ନାମ ଆବଶ୍ୟକ |,జిల్లా పేరు అవసరం,ಜಿಲ್ಲೆಯ ಹೆಸರು ಅಗತ್ಯವಿದೆ,மாவட்டத்தின் பெயர் கட்டாயம்,જિલ્લાનું નામ આવ્યશ્યક છે,ضلع کا نام درکار ہے۔
COMMON,,CREATE,Create,बनाएँ,तयार करा,ବନାନ୍ତୁ,సృష్టించు,ರಚಿಸಿ,உருவாக்கவும்,બનાવો,بنائیں
COMMON,,STATE_DELETED_SUCCESS,State Deleted Successfully!,राज्य सफलतापूर्वक हटाया गया!,राज्य यशस्वीपणे हटवले.,ରାଜ୍ୟ ସଫଳତାର ସହିତ ଡିଲିଟ  ହେଲା,రాష్ట్రం విజయవంతంగా తొలగించబడింది!,ರಾಜ್ಯವನ್ನು ಯಶಸ್ವಿಯಾಗಿ ಅಳಿಸಲಾಗಿದೆ!,மாநிலம் வெற்றிகரமாக நீக்கப்பட்டது!,રાજ્ય સફળતાપૂર્વક હટાયવેલ છે,ریاست کو کامیابی کے ساتھ حذف کر دیا گیا!
COMMON,,STATE_DELETED_FAILURE,State is not Deleted!,राज्य नहीं हटाया गया!,राज्य हटवले गेले नाही.,ରାଜ୍ୟ ଡିଲିଟ  ହୋଇନାହିଁ,రాష్ట్రం తొలగించబడలేదు!,ರಾಜ್ಯವನ್ನು ಅಳಿಸಲಾಗಿಲ್ಲ!,மாநிலத்தை நீக்க முடியவில்லை!,રાજ્ય નથી હટાવેલ,ریاست کو حذف نہیں کیا گیا ہے!
COMMON,,STATE_ADDED_SUCCESS,State Added Successfully!,राज्य सफलतापूर्वक जोड़ा गया!,राज्य यशस्वीपणे जोडले गेले.,ରାଜ୍ୟ ସଫଳତାର ସହିତ ଯୋଡିଛି!,రాష్ట్రం విజయవంతంగా జోడించబడింది!,ರಾಜ್ಯವನ್ನು ಯಶಸ್ವಿಯಾಗಿ ಸೇರಿಸಲಾಗಿದೆ!,மாநிலம் வெற்றிகரமாகச் சேர்க்கப்பட்டது!,રાજ્ય સફરતાપૂર્વક જોડેલ છે,ریاست کامیابی کے ساتھ شامل کر دی گئی!
COMMON,,STATE_ADDED_FAILURE,Unable to add state,राज्य जोड़ने में असमर्थ,राज्य जोडण्यात अक्षम,ରାଜ୍ୟ ଯୋଡିବାକୁ ଅସମର୍ଥ |,రాష్ట్రాన్ని జోడించడం సాధ్యం కాలేదు,ರಾಜ್ಯವನ್ನು ಸೇರಿಸಲು ಸಾಧ್ಯವಾಗುತ್ತಿಲ್ಲ.,மாநிலத்தைச் சேர்க்க முடியவில்லை,રાજ્ય જોડવામાં અસમર્થ,ریاست شامل کرنے سے قاصر
COMMON,,STATE_UPDATED_SUCCESS,State Updated Successfully!,राज्य सफलतापूर्वक अपडेट किया गया!,राज्य यशस्वीपणे अपडेट केले.,ରାଜ୍ୟ ସଫଳତାର ସହିତ ଅପଡେଟ୍ ହୋଇଛି!,రాష్ట్రం విజయవంతంగా నవీకరించబడింది!,ರಾಜ್ಯವನ್ನು ಯಶಸ್ವಿಯಾಗಿ ನವೀಕರಿಸಲಾಗಿದೆ!,மாநிலம் வெற்றிகரமாகப் புதுப்பிக்கப்பட்டது!,રાજ્ય સફળતાપૂર્વક અપડેટ કરેલ છે,ریاست کو کامیابی کے ساتھ اپ ڈیٹ کیا گیا!
COMMON,,STATE_UPDATED_FAILURE,Unable to update state,राज्य अपडेट करने में असमर्थ,राज्य अद्ययावत  करण्यात अक्षम,ରାଜ୍ୟ ଅପଡେଟ୍ କରିବାକୁ ଅସମର୍ଥ |,రాష్ట్రాన్ని నవీకరించడం సాధ్యం కాలేదు,ರಾಜ್ಯವನ್ನು ನವೀಕರಿಸಲು ಸಾಧ್ಯವಾಗುತ್ತಿಲ್ಲ.,மாநிலத்தைப் புதுப்பிக்க முடியவில்லை,રાજ્ય જોડવામાં અસમર્થ,حالت کو اپ ڈیٹ کرنے سے قاصر
COMMON,,STATE_OPERATION_FAILURE,State Operation Failed,राज्य संचालन विफल,राज्य ऑपरेशन अयशस्वी,ରାଜ୍ୟ ଅପରେସନ୍ ବିଫଳ ହେଲା |,రాష్ట్ర ఆపరేషన్ విఫలమైంది,ರಾಜ್ಯ ಕಾರ್ಯಾಚರಣೆ ವಿಫಲವಾಗಿದೆ,மாநில செயல்பாடு தோல்வியடைந்தது,રાજ્ય સંચાલન અસફળ,ریاستی آپریشن ناکام
